Region,Department,Gender,Age,Job_Title,Education_Level,Performance_Score,Work_Hours_Per_Week,Remote_Work_Frequency,Team_Size,Employee_Satisfaction_Score,Industry,Actual_Working_Hours,Employment_Year,Avg_Unemployment_Rate,State_Full,Percent_Treated,Percent_Work_Interference,Percent_Consequences
Florida,Marketing,Male,38,Analyst,Bachelor,4.0,42.0,0,2,3.3350825753566475,Finance,82.0,2016,4.825,Florida,66.66666666666666,25.0,8.333333333333332
Georgia,HR,Female,36,Developer,Bachelor,3.0,46.0,50,19,3.6507133562788248,Healthcare,77.98696336188068,2022,6.704377637130802,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Pennsylvania,Customer Support,Male,52,Coordinator,High School,4.0,48.0,0,15,2.368758620022158,Consulting,40.74831248623312,2023,5.941792929292929,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Ohio,Sales,Male,25,Specialist,Bachelor,5.0,35.0,0,14,3.90911854561028,Telecommunications,38.86879993834697,2004,6.258333333333333,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Ohio,Engineering,Other,28,Developer,Bachelor,5.0,37.0,0,15,3.6892292108589033,Education,76.43529068828512,2017,5.041666666666667,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
North Carolina,Operations,Male,58,Coordinator,High School,3.0,45.0,50,15,3.0771963366095094,Retail,45.05551892838651,2018,4.083333333333333,North Carolina,63.63636363636363,0.0,27.27272727272727
New York,HR,Male,38,Consultant,Master,5.0,46.0,0,16,1.5538479004484622,Telecommunications,53.18310456107481,2018,4.325,New York,73.17073170731707,14.634146341463413,19.51219512195122
Florida,HR,Male,35,Consultant,,5.0,32.0,50,3,2.968093116592483,Technology,33.7138314035367,2006,3.2416666666666667,Florida,66.66666666666666,25.0,8.333333333333332
Texas,HR,Male,59,Analyst,High School,5.0,36.0,0,8,3.341948698925891,Consulting,36.7689927087294,2006,4.891666666666667,Texas,69.44444444444444,13.88888888888889,36.11111111111111
New York,HR,Female,25,Manager,High School,4.0,52.0,75,13,1.826761944398072,Healthcare,50.13734088093212,2015,5.258333333333334,New York,73.17073170731707,14.634146341463413,19.51219512195122
North Carolina,Customer Support,Male,43,Team Lead,High School,4.0,37.0,100,5,3.552211783847113,Education,40.69542144462899,2021,6.863669064748201,North Carolina,63.63636363636363,0.0,27.27272727272727
Illinois,Sales,Male,56,Specialist,Bachelor,2.0,34.0,50,2,3.806448032319026,Education,37.31544599069633,2023,7.106436781609196,Illinois,76.0,16.0,16.0
New York,Customer Support,Male,29,Manager,Bachelor,4.0,43.0,100,6,3.2611490537993086,Retail,50.46997094058951,2023,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
Georgia,Sales,Male,45,Manager,,4.0,40.0,0,9,2.674229177653537,Technology,42.58275583889517,2005,5.325,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Ohio,Engineering,Female,29,Consultant,High School,4.0,41.0,0,8,3.886017072376522,Retail,43.17018359085497,2015,4.908333333333333,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Florida,Marketing,Male,39,Developer,High School,3.0,35.0,0,10,1.4903455026329464,Finance,38.01572671314685,2013,7.233333333333333,Florida,66.66666666666666,25.0,8.333333333333332
New York,Legal,Male,26,Consultant,High School,4.0,42.0,0,9,1.8309239472501344,Education,78.31895654402429,2012,8.516666666666666,New York,73.17073170731707,14.634146341463413,19.51219512195122
Pennsylvania,Engineering,Female,56,Developer,High School,3.0,40.0,50,12,2.580990344390896,Healthcare,40.48235728500199,2021,5.941792929292929,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Illinois,Finance,Female,38,Coordinator,Bachelor,4.0,41.0,50,1,2.7695707339503906,Education,48.55775370086506,2018,4.3500000000000005,Illinois,76.0,16.0,16.0
Ohio,Operations,Male,37,Developer,Bachelor,4.0,41.0,25,3,2.4180769352881275,Telecommunications,39.292851574587445,2014,5.8,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Illinois,Engineering,Male,43,Consultant,High School,5.0,47.0,100,16,3.269570776038384,Retail,80.23517266392008,2009,10.200000000000001,Illinois,76.0,16.0,16.0
North Carolina,Sales,Female,48,Coordinator,High School,3.0,39.0,25,1,3.9644623268453754,Finance,64.68740333128105,2011,10.266666666666667,North Carolina,63.63636363636363,0.0,27.27272727272727
Pennsylvania,Sales,Female,59,Consultant,High School,5.0,45.0,25,14,2.7963111453699927,Telecommunications,46.28294652885379,2014,5.875,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Illinois,Sales,Male,26,Team Lead,Bachelor,4.0,47.0,0,2,1.7067708520963671,Retail,51.67673150240472,2017,4.9750000000000005,Illinois,76.0,16.0,16.0
Pennsylvania,HR,Female,46,Specialist,Master,3.0,39.0,0,7,3.367776547748324,Finance,46.206850249812426,2009,8.049999999999999,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
California,Operations,Female,48,Analyst,Bachelor,5.0,44.0,0,3,3.311416297099776,Finance,48.16193272404937,2018,4.208333333333333,California,73.50427350427351,16.23931623931624,27.350427350427353
New York,Finance,Female,58,Consultant,High School,3.0,44.0,0,16,1.7036191153968383,Healthcare,47.52349136779123,2010,8.591666666666667,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,Sales,Male,24,Consultant,High School,5.0,38.0,0,15,3.8280772994254457,Consulting,38.0725302048439,2016,4.8500000000000005,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,Finance,Female,28,Team Lead,High School,4.0,46.0,0,11,2.533096883547576,Finance,46.05098230023979,2007,4.55,New York,73.17073170731707,14.634146341463413,19.51219512195122
Georgia,Sales,Male,52,Coordinator,High School,5.0,39.0,0,13,3.1302993180082894,Healthcare,42.87327031067153,2014,7.1000000000000005,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Texas,Engineering,Female,53,Specialist,Bachelor,3.0,40.0,0,12,3.5892251409753197,Education,39.82836106151304,2017,4.258333333333334,Texas,69.44444444444444,13.88888888888889,36.11111111111111
North Carolina,IT,Male,27,Specialist,Bachelor,3.0,41.0,0,3,4.049852567498097,Education,43.02037647819933,2020,6.863669064748201,North Carolina,63.63636363636363,0.0,27.27272727272727
Florida,Marketing,Female,43,Specialist,Master,3.0,47.0,75,11,4.114944639243383,Consulting,50.37834469886057,2011,9.991666666666667,Florida,66.66666666666666,25.0,8.333333333333332
North Carolina,Finance,Female,46,Manager,Bachelor,3.0,39.0,50,2,1.5007999869649815,Telecommunications,55.46640214501305,2014,6.316666666666666,North Carolina,63.63636363636363,0.0,27.27272727272727
Illinois,HR,Female,50,Coordinator,Bachelor,3.0,44.0,0,3,2.662891165000864,Healthcare,34.46333443643032,2013,9.041666666666666,Illinois,76.0,16.0,16.0
Texas,Legal,Female,48,Team Lead,High School,5.0,48.0,0,9,4.470634958017395,Healthcare,39.93949663748271,2022,5.834172661870504,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Georgia,Sales,Other,52,Manager,Bachelor,4.0,38.0,50,1,2.914061945511936,Healthcare,38.0460019701835,2020,6.704377637130802,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Pennsylvania,HR,Male,29,Specialist,High School,4.0,42.0,0,7,3.87281502737768,Healthcare,43.68164424086789,2007,4.391666666666667,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Georgia,IT,Male,48,Team Lead,Bachelor,3.0,37.0,0,12,3.1090315713987278,Telecommunications,38.48617278764471,2012,9.191666666666666,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Pennsylvania,Finance,Female,37,Specialist,High School,5.0,45.0,0,14,4.268305183270591,Technology,46.95208909176015,2009,8.049999999999999,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Texas,Finance,Male,35,Coordinator,Bachelor,3.0,42.0,25,10,3.2378154506459587,Education,38.97538507044453,2023,5.834172661870504,Texas,69.44444444444444,13.88888888888889,36.11111111111111
New York,Operations,Female,35,Consultant,Bachelor,3.0,39.0,0,1,3.147068986957896,Technology,32.19084753178646,2023,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,IT,Female,41,Coordinator,Bachelor,2.0,31.0,100,3,2.61594675485752,Telecommunications,32.86466557983498,2013,7.708333333333333,New York,73.17073170731707,14.634146341463413,19.51219512195122
Georgia,Marketing,Female,60,Analyst,Bachelor,3.0,44.0,25,6,2.983759574384722,Consulting,36.10231795837227,2017,4.75,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Georgia,Customer Support,Male,25,Manager,Bachelor,2.0,45.0,75,11,3.077477116805024,Retail,76.29288729269672,2010,10.491666666666667,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
New York,Finance,Female,30,Specialist,Bachelor,4.0,46.0,0,6,2.990975687752399,Finance,38.62768687338368,2021,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
Ohio,Engineering,Male,47,Team Lead,High School,4.0,38.0,0,8,3.53646625231364,Retail,39.461948007406086,2021,6.793597560975607,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Pennsylvania,Legal,Male,35,Specialist,Bachelor,3.0,59.0,75,19,1.4841935937631965,Retail,63.54095770075464,2007,4.391666666666667,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Florida,Legal,Male,25,Manager,Bachelor,3.0,56.0,75,5,3.691929755884312,Finance,59.79345444705587,2013,7.233333333333333,Florida,66.66666666666666,25.0,8.333333333333332
Ohio,Marketing,Male,38,Developer,High School,5.0,54.0,50,19,3.080728380735472,Telecommunications,57.70805556009218,2015,4.908333333333333,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Pennsylvania,Legal,Male,35,Analyst,Bachelor,3.0,59.0,75,19,3.2880770468617446,Healthcare,59.90778220763065,2015,5.3,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Illinois,Operations,Female,56,Developer,Bachelor,4.0,49.0,0,9,3.616051700392501,Finance,76.18988824798402,2008,6.308333333333334,Illinois,76.0,16.0,16.0
Pennsylvania,HR,Female,33,Coordinator,Master,4.0,36.0,75,11,3.363854080926685,Consulting,49.3263433571754,2004,5.425,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Georgia,Marketing,Male,45,Analyst,Master,5.0,40.0,0,3,2.976000150609316,Consulting,44.484779166046266,2020,6.704377637130802,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
New York,Sales,Female,60,Consultant,Bachelor,5.0,48.0,0,12,2.1831920071868294,Technology,40.92447468568707,2022,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
Texas,Engineering,Other,22,Developer,Bachelor,5.0,46.0,75,11,3.691241718809573,Healthcare,42.63674807015818,2020,5.834172661870504,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Illinois,Finance,Female,54,Developer,Bachelor,3.0,44.0,75,5,4.455679351625717,Healthcare,48.305159951579725,2023,7.106436781609196,Illinois,76.0,16.0,16.0
North Carolina,IT,Other,30,Coordinator,Master,3.0,41.0,75,16,1.438763698012694,Healthcare,42.45408933231589,2008,6.133333333333333,North Carolina,63.63636363636363,0.0,27.27272727272727
New York,HR,Female,22,Analyst,Master,4.0,47.0,0,17,2.6805639526840497,Consulting,33.49188102266885,2023,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
California,Operations,Male,38,Specialist,Bachelor,3.0,47.0,100,18,2.4056899775287737,Telecommunications,68.0102509366184,2011,11.708333333333334,California,73.50427350427351,16.23931623931624,27.350427350427353
Ohio,IT,Female,23,Specialist,Bachelor,4.0,32.0,100,18,2.9355382051084757,Retail,69.75097793077649,2011,8.85,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
New York,Engineering,Female,45,Team Lead,High School,3.0,45.0,0,17,2.353881619831451,Healthcare,68.74374295595221,2014,6.333333333333333,New York,73.17073170731707,14.634146341463413,19.51219512195122
Illinois,Operations,Female,55,Manager,Bachelor,4.0,55.0,0,13,4.262749904193261,Consulting,57.01394798244847,2011,9.691666666666666,Illinois,76.0,16.0,16.0
Texas,Engineering,Female,49,Manager,High School,3.0,37.0,0,16,3.7143795904436567,Technology,39.18151488586743,2021,5.834172661870504,Texas,69.44444444444444,13.88888888888889,36.11111111111111
North Carolina,Finance,Female,33,Specialist,High School,5.0,55.0,0,3,2.1758302254417714,Finance,58.69182091685757,2011,10.266666666666667,North Carolina,63.63636363636363,0.0,27.27272727272727
New York,Engineering,Male,31,Developer,Bachelor,3.0,30.0,50,3,2.332322725984137,Education,42.5334033424094,2023,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
Texas,Operations,Male,37,Manager,Bachelor,4.0,40.0,0,3,2.3200273049617355,Telecommunications,41.39993477068252,2017,4.258333333333334,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Ohio,Operations,Female,31,Analyst,High School,4.0,54.0,100,11,3.3486638370125745,Healthcare,51.58800027249758,2012,7.408333333333334,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Pennsylvania,Legal,Female,31,Manager,Bachelor,5.0,49.0,100,4,2.537624970494618,Technology,85.7745461650041,2019,5.941792929292929,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Michigan,Sales,Female,45,Analyst,Bachelor,4.0,38.0,25,19,3.6048442679243866,Telecommunications,38.77899707827782,2018,4.341666666666667,Michigan,55.55555555555556,0.0,22.22222222222222
North Carolina,Operations,Male,52,Coordinator,High School,3.0,36.0,25,14,1.3609846898358222,Technology,39.336708202043816,2012,9.291666666666666,North Carolina,63.63636363636363,0.0,27.27272727272727
Ohio,Customer Support,Female,33,Team Lead,Bachelor,5.0,47.0,0,4,3.1068978692305445,Healthcare,72.3962886603108,2023,6.793597560975607,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Florida,Customer Support,Male,55,Specialist,High School,5.0,58.0,75,17,3.3717263460640123,Healthcare,47.5410420469914,2009,10.391666666666667,Florida,66.66666666666666,25.0,8.333333333333332
North Carolina,Operations,Other,27,Coordinator,Bachelor,3.0,47.0,25,11,4.428519255538422,Finance,47.74391379131261,2019,6.863669064748201,North Carolina,63.63636363636363,0.0,27.27272727272727
California,Operations,Female,37,Consultant,High School,5.0,41.0,0,16,3.811846720087724,Finance,41.70427614909989,2020,7.645220588235294,California,73.50427350427351,16.23931623931624,27.350427350427353
Ohio,Sales,Male,54,Consultant,High School,3.0,46.0,0,10,2.536361948655804,Technology,47.88445242226239,2015,4.908333333333333,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Florida,Legal,Male,40,Coordinator,High School,3.0,36.0,25,13,3.2102111813507057,Technology,70.63812084724835,2021,6.688909313725491,Florida,66.66666666666666,25.0,8.333333333333332
California,Customer Support,Male,24,Developer,High School,4.0,37.0,50,1,2.747986967580342,Finance,37.38073432865978,2020,7.645220588235294,California,73.50427350427351,16.23931623931624,27.350427350427353
Pennsylvania,Engineering,Female,30,Consultant,High School,3.0,39.0,25,6,4.359447161940746,Finance,39.210087602642645,2008,5.316666666666666,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Ohio,IT,Female,22,Coordinator,Master,5.0,40.0,0,15,1.6084497598388108,Education,50.52812572113363,2006,5.425,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Florida,Operations,Female,40,Specialist,High School,5.0,38.0,25,4,3.393036189085069,Finance,41.50688468163503,2022,6.688909313725491,Florida,66.66666666666666,25.0,8.333333333333332
Texas,HR,Male,27,Analyst,,3.0,48.0,100,6,3.5302166360640626,Education,52.65689692455813,2009,7.566666666666666,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Texas,IT,Male,60,Specialist,High School,5.0,59.0,0,6,2.8940651202196443,Consulting,41.98029996394034,2004,5.941666666666666,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Ohio,Legal,Female,46,Specialist,Bachelor,3.0,47.0,0,8,1.627257040468318,Retail,51.40100657218781,2019,6.793597560975607,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Georgia,Engineering,Female,54,Analyst,Master,5.0,45.0,0,9,3.1667462822857657,Retail,75.60699538543011,2004,4.758333333333334,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Illinois,Operations,Female,38,Team Lead,Master,5.0,49.0,50,10,3.689391538949208,Consulting,52.25377817170796,2019,7.106436781609196,Illinois,76.0,16.0,16.0
New York,Finance,Male,47,Analyst,High School,3.0,50.0,0,12,3.5274448894414485,Technology,50.402653545009294,2013,7.708333333333333,New York,73.17073170731707,14.634146341463413,19.51219512195122
North Carolina,Customer Support,Male,36,Developer,Master,4.0,47.0,75,19,3.700308459203016,Healthcare,47.98291283915236,2007,4.716666666666667,North Carolina,63.63636363636363,0.0,27.27272727272727
Texas,Engineering,Male,55,Coordinator,High School,5.0,39.0,75,14,3.3007449638071,Technology,41.54224738813746,2006,4.891666666666667,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Ohio,Finance,Female,60,Manager,High School,4.0,44.0,50,2,2.2194437357143424,Telecommunications,64.27516602340305,2005,5.908333333333334,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Georgia,IT,Female,49,Consultant,Bachelor,3.0,44.0,100,1,3.8672710795372,Education,48.17407018620825,2018,4.0,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
California,Engineering,Female,24,Specialist,Bachelor,5.0,58.0,100,11,3.983041453509768,Telecommunications,62.21748174382212,2017,4.7749999999999995,California,73.50427350427351,16.23931623931624,27.350427350427353
Georgia,HR,Female,32,Developer,Bachelor,2.0,41.0,0,7,2.103620278662657,Healthcare,42.43634850916515,2011,10.233333333333334,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Texas,Sales,Male,26,Specialist,Master,4.0,40.0,75,4,3.201819066768912,Healthcare,90.0,2007,4.2749999999999995,Texas,69.44444444444444,13.88888888888889,36.11111111111111
New York,Marketing,Female,23,Specialist,Bachelor,5.0,48.0,25,3,2.1738333680639133,Consulting,48.18984421318606,2016,4.8500000000000005,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,Finance,Male,46,Consultant,Bachelor,4.0,49.0,50,16,3.819315566780696,Consulting,53.31256620520753,2008,5.458333333333333,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,IT,Male,56,Specialist,Bachelor,3.0,49.0,75,15,2.3042545501766925,Consulting,51.07481321869248,2011,8.299999999999999,New York,73.17073170731707,14.634146341463413,19.51219512195122
Michigan,Sales,Male,60,Specialist,Bachelor,4.0,47.0,0,13,4.440941183491288,Finance,45.990376729174095,2005,6.783333333333334,Michigan,55.55555555555556,0.0,22.22222222222222
Illinois,Finance,Female,41,Specialist,Bachelor,3.0,44.0,25,5,4.047429755185893,Education,47.18296135875747,2005,5.683333333333334,Illinois,76.0,16.0,16.0
New York,Operations,Female,38,Manager,,4.0,55.0,0,15,2.368714019994954,Technology,55.57942337233623,2011,8.299999999999999,New York,73.17073170731707,14.634146341463413,19.51219512195122
New York,Sales,Male,24,Consultant,High School,5.0,38.0,0,15,3.910076645850385,Education,41.51642599782898,2023,6.307580321285141,New York,73.17073170731707,14.634146341463413,19.51219512195122
Texas,Sales,Male,52,Team Lead,Bachelor,5.0,47.0,0,11,2.7444320207468667,Technology,50.83416570642257,2018,3.9166666666666665,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Illinois,IT,Female,41,Analyst,Master,3.0,36.0,0,15,3.7600384280324777,Education,49.70980920261928,2014,7.1000000000000005,Illinois,76.0,16.0,16.0
Florida,Operations,Female,31,Specialist,High School,4.0,50.0,50,10,2.42152027889292,Retail,51.22177596606192,2010,11.033333333333333,Florida,66.66666666666666,25.0,8.333333333333332
Illinois,Customer Support,Female,27,Consultant,Master,3.0,45.0,0,7,2.200343593098394,Consulting,47.76519794774243,2005,5.683333333333334,Illinois,76.0,16.0,16.0
Illinois,Operations,Female,53,Manager,Bachelor,5.0,38.0,0,5,2.3395967686313788,Retail,38.77916399699218,2023,7.106436781609196,Illinois,76.0,16.0,16.0
Pennsylvania,Legal,Female,31,Manager,Bachelor,5.0,49.0,100,4,1.773269637751014,Consulting,83.112731398699,2010,8.433333333333334,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Florida,Operations,Male,42,Analyst,Master,5.0,43.0,50,17,2.6062259917661152,Consulting,36.104311956859725,2021,6.688909313725491,Florida,66.66666666666666,25.0,8.333333333333332
California,IT,Female,49,Developer,Bachelor,2.0,40.0,75,2,2.7114618692532475,Telecommunications,53.86812442396516,2022,7.645220588235294,California,73.50427350427351,16.23931623931624,27.350427350427353
Florida,Operations,Female,38,Team Lead,High School,4.0,52.0,75,4,3.571555991178356,Telecommunications,56.92178778559658,2007,4.008333333333334,Florida,66.66666666666666,25.0,8.333333333333332
Texas,Marketing,Male,33,Team Lead,Bachelor,5.0,37.0,0,1,4.003088532270222,Education,37.275206461794376,2005,5.408333333333334,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Michigan,HR,Male,49,Specialist,Master,3.0,39.0,0,2,2.971478842784993,Healthcare,41.95225632765976,2020,7.796604938271605,Michigan,55.55555555555556,0.0,22.22222222222222
California,Operations,Male,49,Specialist,High School,5.0,42.0,0,9,2.9489623230309547,Education,45.927646269167326,2019,7.645220588235294,California,73.50427350427351,16.23931623931624,27.350427350427353
New York,Marketing,Female,34,Manager,Bachelor,4.0,30.0,100,8,1.574061127799901,Consulting,32.54715429472241,2017,4.7,New York,73.17073170731707,14.634146341463413,19.51219512195122
Texas,Customer Support,Male,49,Developer,Bachelor,4.0,40.0,50,18,1.8201636056860295,Healthcare,43.71044477149106,2005,5.408333333333334,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Ohio,Legal,Female,41,Team Lead,High School,3.0,46.0,100,18,3.8723970643710377,Education,49.117871293662624,2006,5.425,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
North Carolina,Customer Support,Male,37,Consultant,Bachelor,3.0,43.0,50,12,2.987851219925777,Healthcare,45.32736280802556,2009,10.575000000000001,North Carolina,63.63636363636363,0.0,27.27272727272727
North Carolina,Operations,Female,37,Developer,High School,5.0,33.0,100,4,2.5543677864621825,Technology,34.850050110034694,2008,6.133333333333333,North Carolina,63.63636363636363,0.0,27.27272727272727
North Carolina,Customer Support,Male,43,Team Lead,High School,4.0,37.0,100,5,3.749984626193293,Finance,38.26896849810612,2014,6.316666666666666,North Carolina,63.63636363636363,0.0,27.27272727272727
Michigan,Operations,Male,59,Analyst,Bachelor,2.0,34.0,100,1,2.967479025449171,Retail,34.34808858316794,2011,10.391666666666667,Michigan,55.55555555555556,0.0,22.22222222222222
Michigan,Legal,Male,41,Manager,Master,2.0,45.0,50,9,4.232262279336995,Technology,41.56162304025487,2004,7.016666666666667,Michigan,55.55555555555556,0.0,22.22222222222222
Georgia,Engineering,Male,48,Consultant,Bachelor,3.0,49.0,25,6,3.632001502764049,Consulting,52.40762216800515,2011,10.233333333333334,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Pennsylvania,Finance,Female,27,Manager,Bachelor,3.0,38.0,0,19,1.8190627862613555,Healthcare,40.40223017646067,2007,4.391666666666667,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Florida,Finance,Other,23,Developer,Bachelor,5.0,42.0,25,5,2.982223182103437,Technology,45.63222305893095,2006,3.2416666666666667,Florida,66.66666666666666,25.0,8.333333333333332
Florida,Finance,Female,32,Specialist,Bachelor,3.0,48.0,25,14,4.004817681839932,Education,51.23797119029126,2012,8.483333333333333,Florida,66.66666666666666,25.0,8.333333333333332
Georgia,Engineering,Male,46,Manager,Bachelor,4.0,44.0,0,13,3.9284161323572,Consulting,46.94101073718247,2023,6.704377637130802,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Illinois,Customer Support,Female,27,Developer,Master,3.0,45.0,0,7,1.9932079539784016,Technology,45.88635644701633,2022,7.106436781609196,Illinois,76.0,16.0,16.0
